number,value,datetime_start,datetime_complete,duration,params_gamma_1,params_gamma_2,params_lambda,params_n_clusters,params_n_neighbors,state
1,37.669999999999995,2025-01-21 15:57:44.337895,2025-01-21 15:58:36.386606,0 days 00:00:52.048711,0.3163760547448626,0.3135815021785475,1.2619764993078284,90,49,COMPLETE
2,10.4,2025-01-21 15:58:36.471524,2025-01-21 15:59:11.494564,0 days 00:00:35.023040,0.04446064646137846,0.09063434523513779,0.014806963302738004,57,43,COMPLETE
3,6.99,2025-01-21 15:59:11.565359,2025-01-21 15:59:45.493106,0 days 00:00:33.927747,0.016420409287251636,0.0020590276904295375,0.0050959263262350665,56,49,COMPLETE
4,27.01,2025-01-21 15:59:45.572560,2025-01-21 16:00:01.014395,0 days 00:00:15.441835,0.008186516839182865,0.04122829661165054,2.027837334603594,8,1,COMPLETE
5,50.9,2025-01-21 16:00:01.088790,2025-01-21 16:00:48.915614,0 days 00:00:47.826824,0.4955562413568806,0.01858514474703579,0.508552371316276,86,3,COMPLETE
6,31.44,2025-01-21 16:00:48.983737,2025-01-21 16:01:28.654200,0 days 00:00:39.670463,0.005944223442370421,0.029628118272288836,0.4308249869889392,65,31,COMPLETE
7,21.4,2025-01-21 16:01:28.732705,2025-01-21 16:02:02.200954,0 days 00:00:33.468249,2.077240998326883,0.09676056150865099,0.0013897468484614776,55,39,COMPLETE
8,11.28,2025-01-21 16:02:02.270683,2025-01-21 16:02:38.881807,0 days 00:00:36.611124,0.04885269331888911,0.0010964184515037864,0.01241040143235148,61,11,COMPLETE
9,43.34,2025-01-21 16:02:38.953328,2025-01-21 16:03:22.873298,0 days 00:00:43.919970,1.2389390464457113,0.03598184567738233,0.12612109669360314,78,37,COMPLETE
10,39.43,2025-01-21 16:03:22.936582,2025-01-21 16:03:38.366536,0 days 00:00:15.429954,0.09219302741067913,0.5194655178892374,0.2664341390166563,8,5,COMPLETE
11,37.19,2025-01-21 16:03:38.446245,2025-01-21 16:04:03.488351,0 days 00:00:25.042106,5.205786769236098,0.008674940452485331,0.06209212015171359,34,18,COMPLETE
12,16.25,2025-01-21 16:04:03.563105,2025-01-21 16:04:58.764686,0 days 00:00:55.201581,0.5945497428097525,5.3425952259171945,0.12241623224222013,99,27,COMPLETE
13,49.51,2025-01-21 16:04:58.851734,2025-01-21 16:05:44.401718,0 days 00:00:45.549984,0.7254718005134474,0.007854080091357851,0.37488692321463757,81,33,COMPLETE
14,27.92,2025-01-21 16:05:44.464675,2025-01-21 16:06:30.475406,0 days 00:00:46.010731,0.0010331784129778982,0.005797879481600478,0.7379333212895862,81,19,COMPLETE
15,30.680000000000003,2025-01-21 16:06:30.545064,2025-01-21 16:06:57.061151,0 days 00:00:26.516087,0.22383699984813377,0.00856576340183878,2.4320696124274104,36,18,COMPLETE
16,48.91,2025-01-21 16:06:57.146607,2025-01-21 16:07:39.341850,0 days 00:00:42.195243,1.079163772492427,0.00418385502936051,0.28879795538177133,74,31,COMPLETE
17,32.46,2025-01-21 16:07:39.419355,2025-01-21 16:08:34.360778,0 days 00:00:54.941423,4.014910650358976,0.01697063538920099,0.036988455302432485,98,11,COMPLETE
18,42.19,2025-01-21 16:08:34.546236,2025-01-21 16:09:01.205884,0 days 00:00:26.659648,0.2092087918587873,0.2575511593373107,0.7442614401697087,36,22,COMPLETE
19,39.83,2025-01-21 16:09:01.263658,2025-01-21 16:09:50.959696,0 days 00:00:49.696038,0.4786160531122514,2.0772051396462494,0.16122468368690207,88,12,COMPLETE
20,42.39,2025-01-21 16:09:51.041520,2025-01-21 16:10:32.428742,0 days 00:00:41.387222,0.09101005951490075,0.0020416667333698164,0.6247122567156275,70,33,COMPLETE
21,32.37,2025-01-21 16:10:32.506772,2025-01-21 16:11:02.366735,0 days 00:00:29.859963,2.04509627078527,0.01520279248633201,0.043879582336795134,45,25,COMPLETE
22,48.08,2025-01-21 16:11:02.435252,2025-01-21 16:11:46.069901,0 days 00:00:43.634649,0.7096082185484694,0.004471221643869215,0.2422870761254623,73,30,COMPLETE
23,48.49,2025-01-21 16:11:46.135393,2025-01-21 16:12:35.325962,0 days 00:00:49.190569,1.3077927031372052,0.003114649369787817,0.3365738096571884,86,37,COMPLETE
24,40.339999999999996,2025-01-21 16:12:35.383588,2025-01-21 16:13:19.697907,0 days 00:00:44.314319,1.0570987273541919,0.015862758001818338,1.3958674054547433,76,27,COMPLETE
25,27.37,2025-01-21 16:13:19.785302,2025-01-21 16:14:12.090386,0 days 00:00:52.305084,0.16457696355203888,0.001032439402004109,0.08531484844109422,92,44,COMPLETE
26,44.21,2025-01-21 16:14:12.161247,2025-01-21 16:14:51.795346,0 days 00:00:39.634099,2.79562349306192,0.009060493715968307,1.0234237014865466,66,34,COMPLETE
27,44.62,2025-01-21 16:14:51.892024,2025-01-21 16:15:38.572999,0 days 00:00:46.680975,0.3692073720590865,0.002858229346562409,0.2111908995977247,81,24,COMPLETE
28,51.07000000000001,2025-01-21 16:15:38.645496,2025-01-21 16:16:08.742264,0 days 00:00:30.096768,0.7353338797601814,0.05104691361333856,0.4284075475782396,46,7,COMPLETE
29,46.67,2025-01-21 16:16:08.815637,2025-01-21 16:16:29.191688,0 days 00:00:20.376051,0.12241562226541369,0.06115188248348741,0.49394235460078884,21,6,COMPLETE
30,34.63,2025-01-21 16:16:29.269899,2025-01-21 16:16:59.594248,0 days 00:00:30.324349,0.27550037979902486,0.1980280534059789,1.3044660363015526,46,3,COMPLETE
31,27.439999999999998,2025-01-21 16:16:59.682576,2025-01-21 16:17:22.635699,0 days 00:00:22.953123,0.6451268548714949,0.5866540741959333,0.024392573361395047,26,8,COMPLETE
32,50.42,2025-01-21 16:17:22.703941,2025-01-21 16:18:15.001303,0 days 00:00:52.297362,0.8493066587330373,0.025091494816766712,0.3561346236700907,92,13,COMPLETE
33,50.24999999999999,2025-01-21 16:18:15.078742,2025-01-21 16:19:07.785657,0 days 00:00:52.706915,0.3735744082874981,0.02141620412502711,0.5003457872457364,93,13,COMPLETE
34,41.77,2025-01-21 16:19:07.855159,2025-01-21 16:20:01.775290,0 days 00:00:53.920131,0.3674738561396689,0.02110642006584617,1.0391059603139658,95,14,COMPLETE
35,28.720000000000002,2025-01-21 16:20:01.849530,2025-01-21 16:20:51.901493,0 days 00:00:50.051963,0.03658752918480393,0.07847631646551549,1.870429304788229,88,1,COMPLETE
36,31.619999999999997,2025-01-21 16:20:51.996541,2025-01-21 16:21:26.197039,0 days 00:00:34.200498,2.266499360075625,0.13821757511236038,2.769523526578385,50,8,COMPLETE
37,41.91,2025-01-21 16:21:26.284906,2025-01-21 16:22:23.037564,0 days 00:00:56.752658,0.05468185795248973,0.04762455767043403,0.5990418357161095,100,15,COMPLETE
38,33.08,2025-01-21 16:22:23.096799,2025-01-21 16:23:14.805771,0 days 00:00:51.708972,0.37088078740057023,0.02772911303858402,0.08273905425590546,91,8,COMPLETE
39,15.32,2025-01-21 16:23:14.873302,2025-01-21 16:23:51.040872,0 days 00:00:36.167570,0.14259869023758642,0.09628999226651681,0.002610050963089789,59,4,COMPLETE
40,47.12,2025-01-21 16:23:51.121126,2025-01-21 16:24:30.255830,0 days 00:00:39.134704,1.4855169900708323,0.04480206760969698,0.17551237457358776,65,15,COMPLETE
41,47.199999999999996,2025-01-21 16:24:30.328795,2025-01-21 16:25:03.320037,0 days 00:00:32.991242,3.8073653133272085,0.024741855102599082,0.48620542685955664,53,11,COMPLETE
42,50.17,2025-01-21 16:25:03.387336,2025-01-21 16:25:52.058242,0 days 00:00:48.670906,0.7081744201676096,0.010715383014179678,0.3043252778315929,85,7,COMPLETE
