number,value,datetime_start,datetime_complete,duration,params_centroids_new_old_ratio,params_gamma_1,params_gamma_2,params_lambda,params_lr,params_n_clusters,params_n_points,params_optimizer,params_reg_lambda,params_reg_type,params_tanh_x,params_use_tanh,state
0,52.25,2025-01-15 01:19:37.885556,2025-01-15 01:25:26.044016,0 days 00:05:48.158460,0.7515546614588956,1.2682296459020062,0.8448602843560131,0.5405108001371983,0.0008188303300348833,69,9,Adam,0.484372106341854,1,,False,COMPLETE
1,40.8,2025-01-15 01:25:26.135234,2025-01-15 01:39:17.050250,0 days 00:13:50.915016,0.4619492947312848,0.31013950518514205,1.5732397538247866,0.9334923351063051,0.0008401435373369341,20,2,SGD,0.03980940506334843,2,2.4444889202422226,True,COMPLETE
2,51.77,2025-01-15 01:39:17.111073,2025-01-15 01:43:04.810501,0 days 00:03:47.699428,0.6479211367468634,1.5956497444502178,1.2515405717278822,0.40529035241738925,0.0009857363261238298,63,13,Adam,0.35922609331554506,1,9.742866867082387,True,COMPLETE
3,46.45,2025-01-15 01:43:04.868344,2025-01-15 01:46:15.097697,0 days 00:03:10.229353,0.40424459521725564,0.40253423204094074,0.48271729818007847,0.6981779386279527,0.07664804528178709,65,31,Adam,0.00011123264391879468,1,,False,COMPLETE
4,47.339999999999996,2025-01-15 01:46:15.188678,2025-01-15 01:58:22.743698,0 days 00:12:07.555020,0.6624159627226398,0.24900065265133606,1.0628393530177767,0.32136267482054737,0.0014704471913400345,38,6,SGD,0.0002307100051818202,1,9.095222232342058,True,COMPLETE
5,49.53,2025-01-15 01:58:22.813581,2025-01-15 02:02:32.368993,0 days 00:04:09.555412,0.6981488377012272,1.7101203185737164,1.2771519471135988,0.7120396925329084,0.06079750431639537,49,13,Adam,0.5711342379613549,2,,False,COMPLETE
6,51.59,2025-01-15 02:02:32.440863,2025-01-15 02:06:52.428600,0 days 00:04:19.987737,0.20742994430936446,1.050336189163761,1.6455042510940225,0.5901428322068765,0.030141642429891004,27,2,SGD,0.009919452345833777,1,,False,COMPLETE
7,48.230000000000004,2025-01-15 02:06:52.515882,2025-01-15 02:10:38.333431,0 days 00:03:45.817549,0.6940735029710072,1.4205516624694206,0.8859354171309783,0.2957655133102695,0.014532635041344994,24,14,Adam,0.020791344890912923,2,6.931332405146712,True,COMPLETE
8,47.660000000000004,2025-01-15 02:10:38.392297,2025-01-15 02:15:41.183200,0 days 00:05:02.790903,0.8371687279887065,0.7752343700302096,1.4773460147874604,0.7387464598023898,0.0010026568631116373,59,27,SGD,0.005853564293798587,0,4.521825667506731,True,COMPLETE
9,43.74,2025-01-15 02:15:41.253888,2025-01-15 02:19:09.028223,0 days 00:03:27.774335,0.23703014770434072,0.45545027616999356,0.9580121598508009,0.7868580517884924,0.008580501705151837,49,34,Adam,0.0015602667244813942,1,1.6099712266045378,True,COMPLETE
10,52.059999999999995,2025-01-15 02:19:09.105767,2025-01-15 02:22:21.804213,0 days 00:03:12.698446,0.8636952253186092,1.1123814787386699,1.9596059985949457,0.5039407039955228,0.0030355515308263105,3,1,Adam,0.08512947461800252,0,,False,COMPLETE
11,52.28,2025-01-15 02:22:21.874058,2025-01-15 02:25:34.211227,0 days 00:03:12.337169,0.9346645395533295,1.1908554259090223,1.963892388249337,0.4858216531323209,0.0029451774304852852,5,1,Adam,0.11166718529164747,0,,False,COMPLETE
12,52.21,2025-01-15 02:25:34.291353,2025-01-15 02:28:21.015792,0 days 00:02:46.724439,0.9447839408400183,1.2800486391121246,0.5294892347486992,0.44962167821564347,0.003261896891503895,3,1,Adam,0.18401077172478716,0,,False,COMPLETE
13,48.84,2025-01-15 02:28:21.098640,2025-01-15 02:33:59.448672,0 days 00:05:38.350032,0.9482505560335512,1.9535983551019318,0.6598590145186995,0.562924266134537,0.0005117584001324612,75,20,Adam,0.6502785603371216,0,,False,COMPLETE
14,47.9,2025-01-15 02:33:59.508967,2025-01-15 02:37:36.856958,0 days 00:03:37.347991,0.7872050280243282,0.828141116608184,0.29678984989091006,0.20505617280448502,0.0033213787089596495,12,6,Adam,0.1114077981547623,0,,False,COMPLETE
15,52.31,2025-01-15 02:37:36.931325,2025-01-15 02:41:19.601041,0 days 00:03:42.669716,0.5694246829199807,0.8412473314334846,0.8116616584468215,0.3874879118411165,0.0021253138623170344,37,8,Adam,0.9989785820804213,1,,False,COMPLETE
16,50.12,2025-01-15 02:41:19.686862,2025-01-15 02:45:03.392341,0 days 00:03:43.705479,0.07412748837501576,0.7095282039502138,1.9737054695941685,0.373338920118567,0.0067279770262589945,39,19,Adam,0.03966153326980409,0,,False,COMPLETE
17,49.74,2025-01-15 02:45:03.461281,2025-01-15 02:50:30.194545,0 days 00:05:26.733264,0.569413813706988,0.6092768567375597,0.21504416324486597,0.26525737170245445,0.0018119672816227946,30,8,Adam,0.20866722722867687,1,,False,COMPLETE
18,52.88,2025-01-15 02:50:30.263109,2025-01-15 02:56:37.406644,0 days 00:06:07.143535,0.34115937300290233,1.025624549756096,1.7613815239976762,0.4781612894927485,0.006725023824876848,14,4,SGD,0.909563944331502,0,,False,COMPLETE
19,46.43,2025-01-15 02:56:37.472785,2025-01-15 03:03:54.977465,0 days 00:07:17.504680,0.3568136241700695,1.054533286165451,1.7644520470811784,0.6572744160714087,0.007229011024073691,49,40,SGD,0.9703933603149222,2,,False,COMPLETE
20,46.760000000000005,2025-01-15 03:03:55.057779,2025-01-15 03:08:47.772719,0 days 00:04:52.714940,0.5356744970260638,0.9361328151991711,1.303348372573872,0.8723146730268438,0.018135512173689073,32,10,SGD,0.001129797962023445,0,,False,COMPLETE
21,52.94,2025-01-15 03:08:47.840974,2025-01-15 03:15:02.068022,0 days 00:06:14.227048,0.281528767116081,1.2643385675011038,1.8400934079940576,0.4397084705156981,0.004408785319424469,14,4,SGD,0.2931788293625299,0,,False,COMPLETE
22,52.52,2025-01-15 03:15:02.132892,2025-01-15 03:20:35.891716,0 days 00:05:33.758824,0.29641213289560747,1.4723542418236157,1.7252399022503173,0.39739423347582303,0.004907969997337922,15,4,SGD,0.982851823233884,0,,False,COMPLETE
23,52.7,2025-01-15 03:20:35.970971,2025-01-15 03:25:37.937099,0 days 00:05:01.966128,0.28566110687875323,1.4754358284929479,1.7742061107184217,0.44304386341169144,0.005045704300063927,15,4,SGD,0.3927612219749069,0,,False,COMPLETE
24,50.93,2025-01-15 03:25:37.996857,2025-01-15 03:29:26.978415,0 days 00:03:48.981558,0.11922638970931504,1.7811342876386536,1.7785756174720144,0.6287330255737502,0.011733114922396133,12,4,SGD,0.24147383385842183,0,,False,COMPLETE
25,52.78,2025-01-15 03:29:27.046508,2025-01-15 03:34:28.792668,0 days 00:05:01.746160,0.17835708234574082,1.3903454871099226,1.480824252829667,0.4562401269397974,0.005499933397219316,20,5,SGD,0.04282477542560483,0,,False,COMPLETE
26,52.42,2025-01-15 03:34:28.864137,2025-01-15 03:37:55.565365,0 days 00:03:26.701228,0.14806193792591488,1.3440032404029207,1.4477527420238463,0.517235848632267,0.028272159430268083,23,6,SGD,0.0483093058160741,0,,False,COMPLETE
