number,value,datetime_start,datetime_complete,duration,params_gamma_1,params_gamma_2,params_lambda,params_lr,params_n_clusters,params_n_points,params_optimizer,params_reg_lambda,params_reg_type,params_tanh_x,params_use_tanh,state
0,51.1,2025-01-20 00:34:32.964606,2025-01-20 00:37:24.812679,0 days 00:02:51.848073,0.669246014263961,1.8380876125010144,0.5782499412570317,0.03906718294489592,74,18,SGD,0.00029458150714460087,0,4.03306119519475,True,COMPLETE
1,48.65,2025-01-20 00:37:24.887931,2025-01-20 00:39:50.473451,0 days 00:02:25.585520,1.297529246658031,1.477508405593293,0.8432716942930958,0.001668520142209477,73,11,Adam,0.0001176272375623182,2,,False,COMPLETE
2,49.919999999999995,2025-01-20 00:39:50.543666,2025-01-20 00:41:50.001103,0 days 00:01:59.457437,0.4951043023453906,1.9793110279529376,0.4773136858453737,0.08776506904380767,62,32,Adam,0.01218083286707807,0,,False,COMPLETE
3,49.220000000000006,2025-01-20 00:41:50.072611,2025-01-20 00:43:12.163512,0 days 00:01:22.090901,1.8836035406831075,1.4015354791939434,0.21986259924875995,0.001199773003325248,23,9,Adam,0.3224555456045164,2,,False,COMPLETE
4,44.67,2025-01-20 00:42:13.626783,2025-01-20 00:43:01.181570,0 days 00:00:47.554787,0.7397081994966239,0.4257084879038016,0.7848230544392161,0.015130915827336756,12,12,SGD,0.13174405321408555,2,,False,COMPLETE
5,49.14,2025-01-20 00:43:01.241140,2025-01-20 00:44:28.073591,0 days 00:01:26.832451,0.7205077758576783,1.3790247203770658,0.2691007654734778,0.09325069753754912,49,19,Adam,0.19717777756301552,0,,False,COMPLETE
6,39.32,2025-01-20 00:43:12.248242,2025-01-20 00:45:17.378694,0 days 00:02:05.130452,0.6057889515573152,1.788199596015357,0.9614613273370529,0.0027855274304301072,32,30,Adam,0.0011218160787467473,0,1.780520176117222,True,COMPLETE
7,47.36,2025-01-20 00:44:28.146042,2025-01-20 00:45:21.027191,0 days 00:00:52.881149,1.7628291776575686,1.2337978131599479,0.8329825722543795,0.09268453854254767,23,11,Adam,0.0016392835699434653,2,2.7587221927006453,True,COMPLETE
8,44.81,2025-01-20 00:45:17.472856,2025-01-20 00:46:58.701385,0 days 00:01:41.228529,0.6261967806747448,1.7174552408566741,0.9819692748825923,0.0033338432896571537,70,10,Adam,0.07902837930390263,1,5.366009782628885,True,COMPLETE
9,45.18,2025-01-20 00:45:21.084584,2025-01-20 00:48:19.835074,0 days 00:02:58.750490,0.41490997569946864,1.5575282868623785,0.22647294624493597,0.011653722288407917,23,11,SGD,0.00024175709985096205,2,,False,COMPLETE
