task,epoch,loss,alpha_0,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,alpha_7,alpha_8,alpha_9,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,b_0,b_1,b_2,b_3,b_4,b_5,b_6,b_7,b_8,b_9,r_0,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9
40,0,4.315452396869659,-1.224334955215454,-1.8621702194213867,0.3667277693748474,0.6082026362419128,-0.3731826841831207,-0.48201632499694824,-0.9016801714897156,-0.9389694333076477,-0.7115678191184998,1.2790117263793945,-1.2728383541107178,0.46199291944503784,1.1552058458328247,0.09369836002588272,-0.39349764585494995,-0.5450131297111511,-0.32293951511383057,-0.24247108399868011,-1.230607271194458,-0.821248471736908,-0.6690661907196045,0.19515244662761688,-0.2267327904701233,-2.1606297492980957,-0.624100387096405,-0.25827816128730774,-0.2140442430973053,-1.1921210289001465,-0.7339354157447815,0.16297586262226105,1.010977029800415,-0.9432652592658997,-0.4244515597820282,0.6481809020042419,-0.17881576716899872,0.2815099358558655,0.6103649139404297,-0.3785311281681061,1.6195038557052612,-0.1328994780778885
40,1,3.4949507117271423,-1.169333815574646,-1.8230615854263306,0.31493648886680603,0.5583829283714294,-0.3201114237308502,-0.5434303283691406,-0.8906853795051575,-0.8785126805305481,-0.6370251774787903,1.2238391637802124,-1.2905305624008179,0.3985372483730316,1.1066240072250366,0.03981566056609154,-0.4528953731060028,-0.6065550446510315,-0.34581518173217773,-0.30569249391555786,-1.2504526376724243,-0.7637874484062195,-0.6468806266784668,0.25758400559425354,-0.281563937664032,-2.1113739013671875,-0.564886212348938,-0.1837834268808365,-0.18748778104782104,-1.1292709112167358,-0.7047053575515747,0.09835677593946457,1.03573739528656,-0.8766201138496399,-0.47931310534477234,0.5742868185043335,-0.11867917329072952,0.3384955823421478,0.6596037149429321,-0.3171626031398773,1.5754624605178833,-0.07356002181768417
40,2,3.053109288215637,-1.0986794233322144,-1.808780550956726,0.2774050533771515,0.5126028060913086,-0.2798711061477661,-0.6025009155273438,-0.8863868713378906,-0.8226948380470276,-0.5546627044677734,1.173415184020996,-1.2969093322753906,0.3563467562198639,1.0729279518127441,-0.008715532720088959,-0.5056055784225464,-0.6610007882118225,-0.3539295196533203,-0.36640918254852295,-1.2533063888549805,-0.7076302170753479,-0.6332218647003174,0.29509058594703674,-0.32842400670051575,-2.0658538341522217,-0.5118811130523682,-0.1053960844874382,-0.17636412382125854,-1.068808913230896,-0.6874454021453857,0.031009497120976448,1.0287638902664185,-0.8094223141670227,-0.5216221213340759,0.49831289052963257,-0.0642310231924057,0.38588932156562805,0.6941678524017334,-0.25953173637390137,1.4896045923233032,-0.01435394212603569
40,3,2.7778409123420715,-1.0196009874343872,-1.8025338649749756,0.2504715919494629,0.47246384620666504,-0.25114381313323975,-0.6587632298469543,-0.8820778727531433,-0.7695320248603821,-0.4732547998428345,1.1355245113372803,-1.2994807958602905,0.33243465423583984,1.0489881038665771,-0.05061900243163109,-0.553403377532959,-0.706694483757019,-0.35784369707107544,-0.4267226457595825,-1.2517989873886108,-0.6598135232925415,-0.6211387515068054,0.31339359283447266,-0.3716292679309845,-2.0258724689483643,-0.4625976085662842,-0.02456766553223133,-0.16987371444702148,-1.0082861185073853,-0.6727445125579834,-0.03266623243689537,0.9946664571762085,-0.7438087463378906,-0.5547516345977783,0.4244839549064636,-0.01043371856212616,0.4235743582248688,0.7162198424339294,-0.20232728123664856,1.4044716358184814,0.03711938485503197
40,4,2.5839292109012604,-0.9403745532035828,-1.7997523546218872,0.23068897426128387,0.4424024522304535,-0.23605026304721832,-0.7148414850234985,-0.8771522045135498,-0.7221038341522217,-0.39504778385162354,1.1064581871032715,-1.2995270490646362,0.3179705739021301,1.0307974815368652,-0.08249355852603912,-0.5875092148780823,-0.7441273927688599,-0.36023277044296265,-0.4839899241924286,-1.2483265399932861,-0.6137558817863464,-0.6104468703269958,0.32375460863113403,-0.41299450397491455,-1.9958821535110474,-0.4256353974342346,0.05877121165394783,-0.16493874788284302,-0.9504539370536804,-0.6601642370223999,-0.09829992800951004,0.9492077231407166,-0.6783970594406128,-0.5820775032043457,0.3554708659648895,0.03573250398039818,0.45315203070640564,0.7286922931671143,-0.148830845952034,1.3276859521865845,0.08748478442430496
40,5,2.436278283596039,-0.8634240031242371,-1.7975192070007324,0.21726591885089874,0.41780388355255127,-0.22840814292430878,-0.7825285196304321,-0.8713201284408569,-0.6810029149055481,-0.3198001980781555,1.0896296501159668,-1.298543095588684,0.30521827936172485,1.0168663263320923,-0.10802827775478363,-0.6095908284187317,-0.7803676724433899,-0.36140698194503784,-0.5392038822174072,-1.2435190677642822,-0.5713880062103271,-0.6003140807151794,0.33235034346580505,-0.45360052585601807,-1.9713540077209473,-0.40013259649276733,0.14685024321079254,-0.16122843325138092,-0.8949143886566162,-0.6501198410987854,-0.16316737234592438,0.903907060623169,-0.6135983467102051,-0.6044328808784485,0.2899405360221863,0.07751866430044174,0.48052841424942017,0.7258242964744568,-0.09706133604049683,1.2526741027832031,0.1342294067144394
40,6,2.3170564770698547,-0.7880060076713562,-1.7962660789489746,0.20690935850143433,0.40192437171936035,-0.22425127029418945,-0.8504394292831421,-0.8646228313446045,-0.6451606154441833,-0.247783824801445,1.0861529111862183,-1.296640157699585,0.2950214743614197,1.0046145915985107,-0.12784357368946075,-0.6238429546356201,-0.8051583170890808,-0.3625662922859192,-0.5923977494239807,-1.2395015954971313,-0.5302087664604187,-0.5908594131469727,0.339050829410553,-0.49325576424598694,-1.9550087451934814,-0.3827194571495056,0.23636555671691895,-0.15714608132839203,-0.8404456377029419,-0.641323983669281,-0.23026691377162933,0.8538821935653687,-0.5475720167160034,-0.6251037120819092,0.22709500789642334,0.12075723707675934,0.4982216954231262,0.7189872860908508,-0.047165047377347946,1.182586431503296,0.1796114444732666
40,7,2.2220872044563293,-0.715891420841217,-1.7960047721862793,0.20097771286964417,0.39246079325675964,-0.22142967581748962,-0.9253233075141907,-0.8573198914527893,-0.6176847815513611,-0.17999590933322906,1.1008104085922241,-1.29541015625,0.2864660620689392,0.994350790977478,-0.14218570291996002,-0.6334636807441711,-0.8240665197372437,-0.3631856441497803,-0.6407837271690369,-1.236330509185791,-0.4843250811100006,-0.5809662342071533,0.3447556495666504,-0.5338183045387268,-1.944726586341858,-0.37029072642326355,0.3283805847167969,-0.1535445600748062,-0.7905796766281128,-0.6344115734100342,-0.3062751889228821,0.8099172711372375,-0.4812032878398895,-0.6430435180664062,0.16757899522781372,0.15682946145534515,0.5111467838287354,0.7068289518356323,-0.00367080420255661,1.1213150024414062,0.2186618596315384
40,8,1.9531107991933823,-0.6492584943771362,-1.7962666749954224,0.1978810727596283,0.38836169242858887,-0.2193852812051773,-1.0046113729476929,-0.8497328758239746,-0.5957792401313782,-0.11676719784736633,1.3052278757095337,-1.2944798469543457,0.27957743406295776,0.9851148724555969,-0.15324634313583374,-0.6401882767677307,-0.837251603603363,-0.36368075013160706,-0.6868544220924377,-1.2338707447052002,-0.23874260485172272,-0.5716263651847839,0.349368691444397,-0.5739874243736267,-1.9392518997192383,-0.36121416091918945,0.4204975366592407,-0.14995838701725006,-0.7419330477714539,-0.629713237285614,-0.5431961417198181,0.7746034860610962,-0.4160841405391693,-0.6595500707626343,0.11120061576366425,0.1937292218208313,0.5197249054908752,0.6970893144607544,0.040748849511146545,1.0661115646362305,0.23652344942092896
40,9,1.8649324178695679,-0.5904595255851746,-1.7971560955047607,0.19903555512428284,0.38131406903266907,-0.21783766150474548,-1.0956940650939941,-0.842596709728241,-0.5803918242454529,-0.06343061476945877,1.4141433238983154,-1.2942655086517334,0.27322331070899963,0.9776846766471863,-0.16397500038146973,-0.6453214883804321,-0.861721396446228,-0.36415740847587585,-0.7271276712417603,-1.2327196598052979,-0.16574804484844208,-0.5629165768623352,0.35376816987991333,-0.6138750910758972,-1.9313501119613647,-0.35408276319503784,0.5132496356964111,-0.14650994539260864,-0.6980496048927307,-0.626904308795929,-0.6033996343612671,0.7492496371269226,-0.3514254689216614,-0.6728887557983398,0.059873372316360474,0.23340997099876404,0.535439133644104,0.6930479407310486,0.08875599503517151,1.0259532928466797,0.1943970024585724
